"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000170043.12",4679.09744472213,-1.29359434505002,0.0931819813456429,-13.8824515895584,8.09278515027834e-44,1.59864620944784e-41,"TRAPPC1"
"ENSG00000086504.17",4481.45239737163,-1.14713333788666,0.082713821555694,-13.8687019449858,9.80348641962781e-44,1.92132895263414e-41,"MRPL28"
"ENSG00000136536.15",2697.30619089301,1.06257722899179,0.0767081871762923,13.8522010245106,1.2337294006078e-43,2.39902537352564e-41,"MARCHF7"
"ENSG00000145734.19",1561.11987766479,1.35261247386922,0.0977288068390111,13.8404685130085,1.45256740780605e-43,2.80266688219323e-41,"BDP1"
"ENSG00000175756.13",6132.31684334723,-1.22823040146601,0.0887680675937677,-13.8363989975179,1.53716439431851e-43,2.94307859804521e-41,"AURKAIP1"
"ENSG00000104823.9",4624.71739767574,-1.21036171283675,0.0875053145102888,-13.831865179965,1.6371963495253e-43,3.06389602554021e-41,"ECH1"
"ENSG00000119041.11",2081.13096075204,0.833020309607129,0.0602213462963394,13.8326417597503,1.6196139476248e-43,3.06389602554021e-41,"GTF3C3"
"ENSG00000198888.2",224673.404349443,-2.04305977373808,0.147703098345368,-13.8322066133025,1.62944274974145e-43,3.06389602554021e-41,"MT-ND1"
"ENSG00000156876.10",282.160360006745,1.4298466743033,0.103537759319964,13.809905523304,2.2212271013927e-43,4.12584645922869e-41,"SASS6"
"ENSG00000136381.13",2537.64180470782,1.07501526022423,0.0779111363921568,13.7979666323087,2.62142882343392e-43,4.83313803076077e-41,"IREB2"
"ENSG00000138386.17",1973.70031233096,1.28622312977205,0.093243835939178,13.7941893618688,2.76240596934028e-43,5.05560916006468e-41,"NAB1"
"ENSG00000182504.11",840.728115259253,1.28641139342334,0.0932766089571114,13.7913610690418,2.8728799402435e-43,5.21941472355187e-41,"CEP97"
"ENSG00000155744.9",686.845889481754,1.0960144682274,0.0794965316443781,13.7869469970129,3.05414028107564e-43,5.50851823159223e-41,"FAM126B"
"ENSG00000085491.17",1640.11173990727,1.35362336474152,0.0981885421146312,13.7859605162608,3.09617980641676e-43,5.54416657422396e-41,"SLC25A24"
"ENSG00000130724.9",7772.59918421019,-1.04627540444616,0.0759477041914829,-13.7762611205238,3.54144229753928e-43,6.27943193809021e-41,"CHMP2A"
"ENSG00000178691.11",1857.70166802284,1.16539715661224,0.0845965648095682,13.7759394750321,3.55725151976987e-43,6.27943193809021e-41,"SUZ12"
"ENSG00000135945.10",1156.51498551691,0.991144007654344,0.071958220226301,13.7738816293302,3.66007155707402e-43,6.41543528560368e-41,"REV1"
"ENSG00000130165.10",3958.80467943967,-1.06961160108828,0.0776847598897425,-13.7686156539117,3.93684725540678e-43,6.85231665643879e-41,"ELOF1"
"ENSG00000088002.12",196.142859948804,-4.21095730440658,0.306431614890095,-13.7419153239684,5.69490231639351e-43,9.84348046215517e-41,"SULT2B1"
"ENSG00000156873.16",1427.0608431723,-1.01657954908715,0.0739965051745436,-13.7382102937055,5.99392023043724e-43,1.02888741059023e-40,"PHKG2"
"ENSG00000278970.2",297.516436614081,-1.23702916661776,0.0901514085514391,-13.7216842919535,7.52957045856401e-43,1.28363704598396e-40,"HEIH"
"ENSG00000105701.16",20134.4814859984,-1.26996851196504,0.0926151325723018,-13.7123219142791,8.56716804772991e-43,1.45059056263944e-40,"FKBP8"
"ENSG00000123144.11",6426.23163028531,-1.06570179068965,0.0777311187725148,-13.7101048784399,8.83300698837971e-43,1.48549691851872e-40,"TRIR"
"ENSG00000214026.11",2045.20645338959,-1.34391951028093,0.0980780994506269,-13.7025443784977,9.80279991195484e-43,1.63752811952051e-40,"MRPL23"
"ENSG00000130313.7",3489.43372354518,-1.33877580368872,0.0977125356413235,-13.7011673568989,9.99050615344192e-43,1.6577579877278e-40,"PGLS"
"ENSG00000196950.14",1753.05154697087,1.39043896947302,0.101492243583286,13.6999530248043,1.01589998862843e-42,1.67455302761335e-40,"SLC39A10"
"ENSG00000161677.12",1971.17387849821,-1.4196718218477,0.103635079334506,-13.6987575149664,1.03276428930104e-42,1.69115152373046e-40,"JOSD2"
"ENSG00000131408.15",6622.09909732451,-1.07441558473701,0.0784716480184107,-13.6917678151086,1.13708711465551e-42,1.84981034534481e-40,"NR1H2"
